kind,label,bin_lo,bin_hi,count,value
hist,0,0.01,0.0117946,2709,
hist,1,0.0117946,0.0139113,0,
hist,2,0.0139113,0.0164078,0,
hist,3,0.0164078,0.0193524,0,
hist,4,0.0193524,0.0228254,6601,
hist,5,0.0228254,0.0269217,0,
hist,6,0.0269217,0.0317532,12766,
hist,7,0.0317532,0.0374516,0,
hist,8,0.0374516,0.0441728,20418,
hist,9,0.0441728,0.0521001,19534,
hist,10,0.0521001,0.06145,25677,
hist,11,0.06145,0.072478,29332,
hist,12,0.072478,0.085485,46787,
hist,13,0.085485,0.100826,44285,
hist,14,0.100826,0.118921,9077,
hist,15,0.118921,0.140262,18901,
hist,16,0.140262,0.165434,8927,
hist,17,0.165434,0.195123,10011,
hist,18,0.195123,0.23014,9978,
hist,19,0.23014,0.271442,47255,
hist,20,0.271442,0.320155,7539,
hist,21,0.320155,0.377611,7071,
hist,22,0.377611,0.445377,7898,
hist,23,0.445377,0.525306,144111,
hist,24,0.525306,0.619578,5656,
hist,25,0.619578,0.730768,6469,
hist,26,0.730768,0.861913,28026,
hist,27,0.861913,1.01659,304613,
hist,28,1.01659,1.19903,3983,
hist,29,1.19903,1.41421,13363,
hist,30,1.41421,1.66801,69347,
hist,31,1.66801,1.96735,6925,
hist,32,1.96735,2.32042,173408,
hist,33,2.32042,2.73685,31327,
hist,34,2.73685,3.228,67055,
hist,35,3.228,3.80731,20534,
hist,36,3.80731,4.49057,49010,
hist,37,4.49057,5.29646,34312,
hist,38,5.29646,6.24697,25824,
hist,39,6.24697,7.36806,17301,
hist,40,7.36806,8.69035,18589,
hist,41,8.69035,10.2499,15985,
hist,42,10.2499,12.0894,13156,
hist,43,12.0894,14.259,9751,
hist,44,14.259,16.8179,8469,
hist,45,16.8179,19.8361,7406,
hist,46,19.8361,23.3959,6583,
hist,47,23.3959,27.5946,5642,
hist,48,27.5946,32.5468,4811,
hist,49,32.5468,38.3877,3713,
hist,50,38.3877,45.2768,3391,
hist,51,45.2768,53.4022,2680,
hist,52,53.4022,62.9859,2156,
hist,53,62.9859,74.2894,1957,
hist,54,74.2894,87.6215,1546,
hist,55,87.6215,103.346,7393,
hist,56,103.346,121.893,0,
hist,57,121.893,143.768,0,
hist,58,143.768,169.569,0,
hist,59,169.569,200,0,
edge,underflow,0.0,0.01,4,
edge,overflow,200,inf,0,
quant,six_p50,,,,1.0
quant,six_p90,,,,6.0
quant,six_p95,,,,11.0
quant,six_p99,,,,48.75
quant,six_mean,,,,3.2042265669699677
quant,six_n,,,,1449262
quant,all_p50,,,,1.0
quant,all_p90,,,,6.0
quant,all_p95,,,,11.0
quant,all_p99,,,,49.25
quant,all_mean,,,,3.2188530052495374
quant,all_n,,,,1454039
