campus,trade,crew,p95_weekly_hours,rows
1,B20,2,61.35,750
1,C10,5,161.5,4452
1,C30,7,250.71,2768
1,D20,15,599.73,17342
1,D30,23,890.53,17261
1,D40,10,399.08,9560
1,D50,13,505.17,18538
1,D90,7,271.26,1403
1,E10,3,109.36,1257
1,E20,3,83.57,835
1,MISC,6,211.81,1694
2,C10,3,88.29,54
2,D20,6,225.74,357
2,D30,8,296.94,607
2,D40,3,110.03,77
2,D50,3,117.24,233
2,E10,5,184.27,450
2,MISC,10,363.66,260
5,B20,4,125.75,9362
5,B30,13,488.02,8051
5,C10,3,85.5,22435
5,C30,4,159.0,5417
5,D20,21,836.69,90814
5,D30,52,2072.87,135133
5,D40,2,61.2,30851
5,D50,8,286.65,17891
5,E10,2,69.0,6877
5,E20,5,174.7,2419
5,MISC,2,67.5,929
9,B20,2,59.74,1232
9,B30,5,169.0,1333
9,C10,3,84.75,4568
9,C30,6,216.32,2202
9,D10,1,30.19,1076
9,D20,12,476.0,14748
9,D30,28,1083.33,25375
9,D40,9,320.51,5330
9,D50,14,522.69,29238
9,D90,8,287.22,4422
9,E10,6,209.49,2447
9,E20,1,33.32,940
9,MISC,4,131.66,937
10,B20,4,124.0,4156
10,B30,2,47.65,526
10,C10,5,197.7,5447
10,C30,5,166.1,2350
10,D20,18,688.83,25056
10,D30,35,1378.75,62247
10,D40,49,1945.01,9528
10,D50,20,793.39,81949
10,D90,4,145.81,3034
10,E10,5,197.25,7031
10,E20,2,49.3,570
10,MISC,2,46.97,395
10,UNK,3,88.72,351
12,B20,8,314.17,1432
12,B30,6,203.52,299
12,C10,11,426.65,5579
12,C30,14,540.2,1255
12,D20,29,1149.54,6177
12,D30,42,1672.25,6895
12,D40,8,291.89,704
12,D50,23,909.27,5848
12,D90,10,397.9,832
12,E10,8,291.98,1771
12,E20,9,354.23,2296
12,MISC,13,503.46,800
12,UNK,5,176.01,268
