method,n,mean_abs_gap,mean_rel_gap_pct,median_rel_gap_pct,ratio_of_means_pct,p90_rel_gap_pct,max_rel_gap_pct
cpsat60,1888,2.1190577860169766,0.09961590341291153,0.02224838121303903,0.40904254271030016,0.11190247126043941,11.564802507297498
cpsat300,1888,0.19370810381358938,0.06422745714685939,0.021515429945485325,0.03739155007964032,0.10423932234363245,6.411258795934642
ga,1888,4.3013797669491485,0.1000346809643683,0.0,0.8302969973946068,0.0,13.443104846449483
atc,1888,26.182844809322063,1.3661225461478061,0.0,5.054084644064798,0.4463017565038753,400.0
wspt,1888,42.64416181144071,3.0613412680129324,0.0,8.231619021531303,4.236103908426498,400.0
edd,1888,72.96104110169492,1.9219897741349827,0.0,14.083697937810358,0.14952429856943936,281.8087633472575
pfifo,1888,71.73868437500002,1.9057124484146113,0.0,13.847745946842652,0.14952429856943936,281.8087633472575
random,1888,201.17309110169495,11.016713023832219,0.0,38.832519458471054,2.901640799507406,4250.0
mor,1888,589.8586173199151,22.11797664028205,0.0,113.86063667552524,1.4037785239984575,2000.0
