campus,trade,crew,capacity_wk_bh,train_p95_recomputed,train_p95_calib,n_train_weeks,n_test_weeks,train_p50,train_max,test_p50,test_p95,test_mean,test_max,util_test_p50,util_test_p95,util_test_mean,share_test_weeks_over_1
2,C10,3,120.0,88.29184000000353,88.29,25,120,3.5,140.06480000000445,53.504999999999995,154.3035600000042,65.8923200000003,224.6,0.44587499999999997,1.285863000000035,0.5491026666666692,0.11666666666666667
2,D20,6,240.0,225.74480000000446,225.74,41,121,37.9,619.26,430.91480000000445,927.1448000000045,468.9999371900896,1208.5948000000044,1.795478333333352,3.8631033333333518,1.9541664049587066,0.8264462809917356
2,D30,8,320.0,296.93568000000715,296.94,65,120,46.69,641.0848000000045,648.5698000000045,1508.9778400000089,727.754260000009,2433.019200000018,2.026780625000014,4.715555750000028,2.2742320625000283,0.8666666666666667
2,D40,3,120.0,110.03430000000445,110.03,14,118,13.66,145.63480000000447,27.259999999999998,133.24272000000067,51.831769491525655,490.99,0.22716666666666666,1.1103560000000057,0.43193141242938043,0.09322033898305085
2,D50,3,120.0,117.24480000000446,117.24,41,119,31.92,377.6,210.86480000000446,564.1806400000079,250.766440336137,923.1192000000178,1.7572066666667039,4.701505333333399,2.089720336134475,0.773109243697479
2,E10,5,200.0,184.26616000000763,184.27,44,120,24.185000000000002,260.37,169.4874000000022,356.78354000000456,180.75830333333494,640.9948000000045,0.847437000000011,1.7839177000000228,0.9037915166666747,0.35833333333333334
2,MISC,10,400.0,363.6575600000098,363.66,43,119,74.86,859.4596000000089,135.21,703.2497600000048,215.5363294117678,1282.1036000000313,0.338025,1.758124400000012,0.5388408235294195,0.12605042016806722
2,TOTAL,38,1520.0,857.7228000000035,,69,121,158.28,2876.999200000018,1708.008800000027,3900.714000000022,1944.4938578512633,4720.222800000049,1.1236900000000176,2.56625921052633,1.279272274902147,0.6115702479338843
1,B20,2,80.0,61.349999999999994,61.35,114,71,6.0,171.36480000000446,5.0,55.5,13.22696901408457,95.0,0.0625,0.69375,0.16533711267605714,0.028169014084507043
1,C10,5,200.0,161.5,161.5,175,103,67.5,430.0,82.0,180.38648000000043,94.50052038834981,367.0,0.41,0.9019324000000022,0.4725026019417491,0.019417475728155338
1,C30,7,280.0,250.71148000000045,250.71,183,102,90.5,390.59440000001337,79.0,230.1398000000042,90.61552156862784,289.5,0.28214285714285714,0.8219278571428721,0.32362686274509944,0.00980392156862745
1,D20,15,600.0,599.7279400000068,599.73,190,105,309.5,939.8648000000045,311.0,565.6,333.96152000000114,845.8444000000134,0.5183333333333333,0.9426666666666667,0.5566025333333352,0.0380952380952381
1,D30,23,920.0,890.5303600000025,890.53,195,104,400.5,1354.8648000000044,368.18240000000225,834.1999999999999,438.2484076923101,1123.479600000009,0.40019826086956767,0.9067391304347825,0.47635696488294577,0.019230769230769232
1,D40,10,400.0,399.0756400000024,399.08,172,103,100.75,594.5,134.5,397.6249999999999,158.6692194174758,562.5,0.33625,0.9940624999999997,0.3966730485436895,0.04854368932038835
1,D50,13,520.0,505.17499999999995,505.17,195,103,273.5,851.5944000000134,299.75,591.5499999999998,321.14090097087427,810.479600000009,0.5764423076923076,1.1375961538461536,0.6175786557132198,0.0970873786407767
1,D90,7,280.0,271.2646800000127,271.26,124,81,90.86480000000446,382.95920000001786,90.86480000000446,280.22960000000893,111.66919012346109,577.9592000000179,0.3245171428571588,1.0008200000000318,0.3988185361552182,0.06172839506172839
1,E10,3,120.0,109.36480000000446,109.36,163,102,17.75,192.36480000000446,22.25,122.73980000000444,33.20444705882384,216.86480000000446,0.18541666666666667,1.0228316666667037,0.27670372549019867,0.06862745098039216
1,E20,3,120.0,83.57499999999997,83.57,160,98,16.0,133.5,10.25,38.574999999999996,15.28061224489796,105.5,0.08541666666666667,0.3214583333333333,0.12733843537414966,0.0
1,MISC,6,240.0,211.81480000000445,211.81,162,102,34.75,386.59440000001337,24.125,186.2773000000044,55.787741176471776,261.3648000000045,0.10052083333333334,0.776155416666685,0.2324489215686324,0.00980392156862745
1,TOTAL,94,3760.0,2727.75,,221,106,1432.729600000009,4414.431200000085,1534.5370000000112,2695.8814000000248,1599.9961849056697,3369.0332000000403,0.40812154255319444,0.7169897340425598,0.4255309002408696,0.0
