method,mean,std,count,pct_above_best
v2rl302,1431.2891133333333,801.3966335807089,30,0.0
edd,1434.1537733333332,803.2549563498956,30,0.20014544743713192
pfifo,1434.1537733333332,803.2549563498956,30,0.20014544743713192
random,1437.23304,801.0319907056146,30,0.4152848373746087
v2rl301,1443.4764733333334,819.1530281391173,30,0.8514953328763153
atc,1445.6033666666667,806.9779895724338,30,1.000095172944965
wspt,1448.6475866666667,806.2610759972993,30,1.212785954397938
v2rl303,1449.7884133333332,826.9259825235662,30,1.2924921895700636
mor,1451.4502666666667,828.4124786972455,30,1.4086010398262647
