UniversityID,R2_missing_key,R3_zero_hours,retained,R2_missing_key_share,R3_zero_hours_share,retained_share
1,0.0,11092.0,127161.0,0.0,0.024025871349386684,0.06668589543570205
2,0.0,5497.0,60552.0,0.0,0.011906799027008528,0.031754738799023526
3,206491.0,2072.0,1475.0,0.15150765862405974,0.004488063959243527,0.0007735209361963223
4,238148.0,408.0,1612.0,0.17473519856072456,0.0008837500460286482,0.000845366609592184
5,0.0,70581.0,393669.0,0.0,0.152882259800853,0.20644828029252202
6,298285.0,0.0,2048.0,0.21885923334517077,0.0,0.00107401415412208
7,25120.0,0.0,0.0,0.018431178039897043,0.0,0.0
8,110760.0,40.0,100.0,0.08126740763132947,8.664216137535767e-05,5.244209736924218e-05
9,0.0,38112.0,152856.0,0.0,0.08255265135844078,0.08016089235472884
10,0.0,171731.0,810275.0,0.0,0.3719786253787887,0.42492520445862714
11,484104.0,739.0,52.0,0.3551993237988184,0.001600713931409733,2.7269890632005936e-05
12,0.0,161397.0,357065.0,0.0,0.349594622987465,0.18725237497148461
