_grp,_sysc_top,n
R2_missing_key,D30,428201
R2_missing_key,D20,238126
R2_missing_key,D50,208385
R2_missing_key,E10,110805
R2_missing_key,C10,96086
R2_missing_key,D40,65103
R2_missing_key,C30,55867
R2_missing_key,D10,30954
R2_missing_key,E20,27843
R2_missing_key,B20,18884
R3_zero_hours,D30,139960
R3_zero_hours,D50,90886
R3_zero_hours,D40,84911
R3_zero_hours,D20,49032
R3_zero_hours,E10,17320
R3_zero_hours,C10,16083
R3_zero_hours,C30,12930
R3_zero_hours,E20,7599
R3_zero_hours,B20,7539
R3_zero_hours,D10,6624
retained,D30,552097
retained,D50,489645
retained,D20,306550
retained,D40,202393
retained,C10,90138
retained,E10,62047
retained,B20,42916
retained,C30,41947
retained,D90,30858
retained,E20,28054
