campus,track,n_instances,cv_interrelease_mean,p_bh_p50,p_bh_p90,p_bh_p99,pm_share,pri1,pri2,pri3,pri4
1,replay,200,2.303729049811946,1.824375,6.979999999999998,36.528181359999905,0.3686666666666666,0.003833333333333333,0.5063666666666666,0.1066,0.3832
1,generator,100,0.9892457032617367,1.9852554999999998,6.1435498,16.353021129999973,0.4281333333333333,0.005666666666666667,0.44813333333333333,0.09973333333333333,0.4464666666666667
2,replay,106,2.0062051930900986,1.8995283018867923,20.835349056603768,80.31591437735847,0.3106289308176101,0.01509433962264151,0.36245283018867924,0.3118238993710692,0.31062893081761006
2,generator,100,0.9852087813952983,2.682053,17.49587989999999,72.18473041999988,0.6766666666666669,0.003,0.17366666666666666,0.14666666666666667,0.6766666666666666
5,replay,200,1.9695126998234114,1.8985000000000003,8.094347999999998,31.789102959999926,0.1537,0.0,0.0,0.8463,0.1537
5,generator,100,0.9861976098694026,1.5451905,6.1507374,18.791584069999963,0.4527999999999999,0.0,0.0,0.5472,0.4528
9,replay,200,4.095945185302196,1.89375,8.274999999999999,32.61132195999992,0.7534666666666666,0.0359,0.20696666666666666,0.0036666666666666666,0.7534666666666666
9,generator,100,0.9865842393357427,1.9624424999999999,7.6578266,23.962609859999944,0.8143333333333331,0.032466666666666665,0.14973333333333333,0.0034666666666666665,0.8143333333333334
10,replay,200,3.2816826761019184,0.93735,6.454328999999998,33.39851309999994,0.6956333333333333,0.022733333333333335,0.09386666666666667,0.18323333333333333,0.7001666666666667
10,generator,100,0.9799613580249287,0.492609,2.8209377999999985,11.331407829999964,0.7915333333333332,0.0132,0.061533333333333336,0.1316,0.7936666666666666
12,replay,200,1.9380847518594146,2.0337917500000002,13.344458649999996,63.3132441699999,0.16476666666666667,0.19623333333333334,0.14086666666666667,0.24903333333333333,0.41386666666666666
12,generator,100,0.9873544183355386,2.257824,12.168408399999997,45.20777993999988,0.18146666666666664,0.15426666666666666,0.12313333333333333,0.25626666666666664,0.4663333333333333
